Slug,Kategorie,Titel,Wortzahl_Erklaerung,Wortzahl_FAQ,Wortzahl_Gesamt,Bewertung,Tag
countdown,alltag,Countdown-Rechner,317,152,469,DUENN,
nebenkosten-rechner,wohnen,Nebenkostenrechner,322,188,510,AKZEPTABEL,
wahrer-stundenlohn,finanzen,Wahrer Stundenlohn Rechner,347,171,518,AKZEPTABEL,
estrich-rechner,wohnen,Estrich-Rechner,313,206,519,AKZEPTABEL,
lebenszeit-rechner,alltag,Lebenszeit-Rechner,360,162,522,AKZEPTABEL,
raucher-rechner,gesundheit,Raucher-Rechner,357,177,534,AKZEPTABEL,
spenden-rechner,finanzen,Spenden-Rechner,345,201,546,AKZEPTABEL,
grunderwerbsteuer-rechner,wohnen,Grunderwerbsteuerrechner,395,158,553,AKZEPTABEL,
reisekosten-rechner,alltag,Reisekosten-Rechner,349,210,559,AKZEPTABEL,
budget-rechner,alltag,Budget-Rechner,378,204,582,AKZEPTABEL,
beton-rechner,wohnen,Beton-Rechner,344,240,584,AKZEPTABEL,
midijob-rechner,finanzen,Midijob-Rechner,368,225,593,AKZEPTABEL,
fahrrad-rahmengroesse-rechner,auto,Fahrrad-Rahmengröße-Rechner,350,243,593,AKZEPTABEL,
steuerprogression-rechner,finanzen,Steuerprogression-Rechner,368,236,604,AKZEPTABEL,
nebenjob-rechner,finanzen,Nebenjob-Rechner,404,211,615,AKZEPTABEL,
zeitwert-rechner,alltag,Zeitwert-Rechner,389,227,616,AKZEPTABEL,
firmenwagen-rechner,auto,Firmenwagenrechner,365,253,618,AKZEPTABEL,
grundsteuer-rechner,wohnen,Grundsteuer-Rechner,409,209,618,AKZEPTABEL,
noten-international,mathe,Noten-Umrechner (international),394,228,622,AKZEPTABEL,
streaming-kosten-rechner,alltag,Streaming-Kosten-Rechner,486,155,641,AKZEPTABEL,
sonnenschutz-rechner,gesundheit,Sonnenschutz-Rechner,409,237,646,AKZEPTABEL,
schritte-rechner,gesundheit,Schritte-Rechner,438,223,661,AKZEPTABEL,
zufallszahl-generator,mathe,Zufallszahl-Generator,433,229,662,AKZEPTABEL,
betriebskosten-rechner,finanzen,Betriebskosten-Rechner,412,253,665,AKZEPTABEL,
gefrierdauer-rechner,kochen,Gefrierdauer-Rechner,394,273,667,AKZEPTABEL,
waehrungsrechner,alltag,Währungsrechner,471,200,671,AKZEPTABEL,
rezept-umrechner,kochen,Rezept-Umrechner,434,243,677,AKZEPTABEL,
hochrechner,finanzen,Hochrechner (Gehalt),475,203,678,AKZEPTABEL,
taxi-rechner,auto,Taxi-Kosten-Rechner,417,262,679,AKZEPTABEL,
skontorechner,alltag,Skontorechner,446,234,680,AKZEPTABEL,
malerkosten-rechner,wohnen,Malerkosten-Rechner,486,195,681,AKZEPTABEL,
krankengeld-rechner,finanzen,Krankengeld-Rechner,460,225,685,AKZEPTABEL,
notenschluessel-rechner,mathe,Notenschlüssel-Rechner,496,190,686,AKZEPTABEL,
kaffee-kosten-rechner,alltag,Kaffee-Kosten-Rechner,471,226,697,AKZEPTABEL,
gewerbesteuer-rechner,finanzen,Gewerbesteuer-Rechner,459,239,698,AKZEPTABEL,
schenkungssteuer-rechner,finanzen,Schenkungssteuer-Rechner,416,287,703,AKZEPTABEL,
